Link,Info
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzMyMDk5OTQ=,Abdulrehman Ahmed Founder Shobly
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzMyMDg0MjU=,Faisal Alkhaldy Founder Linkers IO
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzMxOTE4MzI=,Nikola Gorjanac Co-founder and CTO Bee IT
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzMxOTE4MzA=,Zoran Tovarloza Co-founder and CEO Bee IT
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzMxODU5ODg=,Mohamed Ahmed Founder & CTO OfinTech
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzMxNzMxMjc=,Gopi Balakrishnan Co-Founder HookZ.ai
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzMxNjkyNTI=,Abdullah Khan Founder & CEO BotCampusAI Learning Solutions Pvt Ltd
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzMxNTIwMDE=,Munawwar Yahya Founder & CEO GrowtHire
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzMxNDY2ODQ=,Ahmad Al Mughrabi Founder and CEO Tech3arabi.com
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzMwOTQ5NDA=,Jinesh Gosar Founder & CEO SimpliFI Consulting FZ LLC
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzMwMjgzNzM=,Mishaal Aljeraisy Co-Founder NUZUL LTD COMPANY
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzMwMjc5NTk=,Mohammed Al-Jefairi Founder Bawaba
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzM5OTY4MTc=,"Mohamed Abdelmaguied Founder, MD GroMart"
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzM5OTUzOTc=,Arsen Safaryan Co-founder sandlist ;
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzM5ODgyMTY=,Perla Bou Francis Founder Momento Creative Agency
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzM5ODAwNTk=,Lara Al Arab Founder Entredemia
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzM5NjQ5MDM=,Syed Ahsan Founder & CEO Maspearls Inc
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzM5MjY1NDM=,Nikolaos Ntigrintakis Founder FE SWISS FINANCIAL AG
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzM5MDA5NjQ=,Abdulrahman Hussain Founder Emily
