Link,Info
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzQ0MzYwMzA=,Manuel Pacreau CEO Addict Mobile
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzQ0MzQ2MzY=,Majed Al Rasheed CEO FinArabia
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzQ0MjQyNDQ=,Mohamed Baddar CEO Alsun AI
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzQ0MjExOTk=,Bandar Alghamdi CEO Alpha Digital
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzQ0MTE4Mjk=,Lalit Mendapara CEO ASPIRE SOFTWARE CONSULTANCY
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzQ0MDgyNDg=,Ivan Grechkivsky CEO Family Garden LLC
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzQ0MDc4NzE=,Hatem Kameli CEO Resal
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzQ0MDU5MTE=,Maymoonah Mohammed CEO LVLUP
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzMzOTY5Nzg=,Nuslia Nushra Akhter CEO AND MANAGING DIRECTOR Al Nuqtat LLC
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzMzNzQ5MjY=,Abdulaziz Almogrin CEO JIFF technology
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzMzMzQxMDE=,Aldiyar Seidali CEO Zaytoon Antler
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzMzMjQ0MjY=,Samad Saleem CEO DigiTrends
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzMzMTE5MTQ=,Abror Kholov CEO Wyzo
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzMyMDA5NTg=,Jakub Jodłowski CEO Qarbon IT
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzMxODc0Mzc=,Mansour Alshuaibi CEO Qsalary
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzMxODA2NTQ=,Simon Littlewood CEO Sdg Global Group
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzMxODA1NDA=,Moataz Othman CEO Imknat.com.sa
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzMxNzQ5NzE=,Husam Habannakeh CEO Baksheesh
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzMxNDYxNjA=,Asif Iqbal CEO Prime Manpower & Testing Service (SMC-Private) Limited
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzMwODAyMzk=,Abdul Wadood CEO Digitify Ltd
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzMwNzc2Mjg=,Mohamed Ahmed CEO Gulf Advanced Technology
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzMwNTg2NjI=,Janti Abdallah CEO PayOne
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzMwNDM3MTY=,Amine Zrikem CEO Mediaster Marketing Agency
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzMwMzM0Njg=,Ehsan Nehlawi CEO Easytake
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzMwMzA0MjI=,Michael Edge CEO Big Future Club
